pokemon_id,type,name
110,poison,weezing
111,"ground, rock",rhyhorn
112,"ground, rock",rhydon
113,normal,chansey
114,grass,tangela
115,normal,kangaskhan
116,water,horsea
117,water,seadra
118,water,goldeen
119,water,seaking
120,water,staryu
121,"water, psychic",starmie
122,"psychic, fairy",mr-mime
123,"flying, bug",scyther
124,"psychic, ice",jynx
125,electric,electabuzz
126,fire,magmar
127,bug,pinsir
128,normal,tauros
129,water,magikarp
130,"flying, water",gyarados
131,"water, ice",lapras
132,normal,ditto
133,normal,eevee
134,water,vaporeon
135,electric,jolteon
136,fire,flareon
137,normal,porygon
138,"rock, water",omanyte
139,"rock, water",omastar
140,"rock, water",kabuto
141,"rock, water",kabutops
142,"flying, rock",aerodactyl
143,normal,snorlax
144,"flying, ice",articuno
145,"flying, electric",zapdos
146,"flying, fire",moltres
147,dragon,dratini
148,dragon,dragonair
149,"flying, dragon",dragonite
150,psychic,mewtwo
151,psychic,mew
152,grass,chikorita
153,grass,bayleef
154,grass,meganium
155,fire,cyndaquil
156,fire,quilava
157,fire,typhlosion
158,water,totodile
159,water,croconaw
160,water,feraligatr
161,normal,sentret
162,normal,furret
163,"normal, flying",hoothoot
164,"normal, flying",noctowl
165,"flying, bug",ledyba
166,"flying, bug",ledian
167,"poison, bug",spinarak
168,"poison, bug",ariados
169,"flying, poison",crobat
170,"water, electric",chinchou
171,"water, electric",lanturn
172,electric,pichu
173,fairy,cleffa
174,"normal, fairy",igglybuff
175,fairy,togepi
176,"flying, fairy",togetic
177,"flying, psychic",natu
178,"flying, psychic",xatu
179,electric,mareep
180,electric,flaaffy
181,electric,ampharos
182,grass,bellossom
183,"water, fairy",marill
184,"water, fairy",azumarill
185,rock,sudowoodo
186,water,politoed
187,"flying, grass",hoppip
188,"flying, grass",skiploom
189,"flying, grass",jumpluff
190,normal,aipom
191,grass,sunkern
192,grass,sunflora
193,"flying, bug",yanma
194,"ground, water",wooper
195,"ground, water",quagsire
196,psychic,espeon
197,dark,umbreon
198,"flying, dark",murkrow
199,"water, psychic",slowking
200,ghost,misdreavus
201,psychic,unown
202,psychic,wobbuffet
203,"normal, psychic",girafarig
204,bug,pineco
205,"bug, steel",forretress
206,normal,dunsparce
207,"flying, ground",gligar
208,"ground, steel",steelix
209,fairy,snubbull
210,fairy,granbull
211,"poison, water",qwilfish
212,"bug, steel",scizor
213,"rock, bug",shuckle
214,"fighting, bug",heracross
215,"ice, dark",sneasel
216,normal,teddiursa
217,normal,ursaring
218,fire,slugma
219,"rock, fire",magcargo
220,"ground, ice",swinub
221,"ground, ice",piloswine
222,"rock, water",corsola
223,water,remoraid
224,water,octillery
225,"flying, ice",delibird
226,"flying, water",mantine
227,"flying, steel",skarmory
228,"fire, dark",houndour
229,"fire, dark",houndoom
230,"water, dragon",kingdra
231,ground,phanpy
232,ground,donphan
233,normal,porygon2
234,normal,stantler
235,normal,smeargle
236,fighting,tyrogue
237,fighting,hitmontop
238,"psychic, ice",smoochum
239,electric,elekid
240,fire,magby
241,normal,miltank
242,normal,blissey
243,electric,raikou
244,fire,entei
245,water,suicune
246,"ground, rock",larvitar
247,"ground, rock",pupitar
248,"rock, dark",tyranitar
249,"flying, psychic",lugia
250,"flying, fire",ho-oh
251,"grass, psychic",celebi
252,grass,treecko
253,grass,grovyle
254,grass,sceptile
255,fire,torchic
256,"fighting, fire",combusken
257,"fighting, fire",blaziken
258,water,mudkip
259,"ground, water",marshtomp
260,"ground, water",swampert
261,dark,poochyena
262,dark,mightyena
263,normal,zigzagoon
264,normal,linoone
265,bug,wurmple
266,bug,silcoon
267,"flying, bug",beautifly
268,bug,cascoon
269,"poison, bug",dustox
270,"water, grass",lotad
271,"water, grass",lombre
272,"water, grass",ludicolo
273,grass,seedot
274,"grass, dark",nuzleaf
275,"grass, dark",shiftry
276,"normal, flying",taillow
277,"normal, flying",swellow
278,"flying, water",wingull
279,"flying, water",pelipper
280,"psychic, fairy",ralts
281,"psychic, fairy",kirlia
282,"psychic, fairy",gardevoir
283,"bug, water",surskit
284,"flying, bug",masquerain
285,grass,shroomish
286,"fighting, grass",breloom
287,normal,slakoth
288,normal,vigoroth
289,normal,slaking
290,"ground, bug",nincada
291,"flying, bug",ninjask
292,"bug, ghost",shedinja
293,normal,whismur
294,normal,loudred
295,normal,exploud
296,fighting,makuhita
297,fighting,hariyama
298,"normal, fairy",azurill
299,rock,nosepass
300,normal,skitty
301,normal,delcatty
302,"ghost, dark",sableye
303,"steel, fairy",mawile
304,"rock, steel",aron
305,"rock, steel",lairon
306,"rock, steel",aggron
307,"fighting, psychic",meditite
308,"fighting, psychic",medicham
309,electric,electrike
310,electric,manectric
311,electric,plusle
312,electric,minun
313,bug,volbeat
314,bug,illumise
315,"poison, grass",roselia
316,poison,gulpin
317,poison,swalot
318,"water, dark",carvanha
319,"water, dark",sharpedo
320,water,wailmer
321,water,wailord
322,"ground, fire",numel
323,"ground, fire",camerupt
324,fire,torkoal
325,psychic,spoink
326,psychic,grumpig
327,normal,spinda
328,ground,trapinch
329,"ground, dragon",vibrava
330,"ground, dragon",flygon
331,grass,cacnea
332,"grass, dark",cacturne
333,"normal, flying",swablu
334,"flying, dragon",altaria
335,normal,zangoose
336,poison,seviper
337,"rock, psychic",lunatone
338,"rock, psychic",solrock
339,"ground, water",barboach
340,"ground, water",whiscash
341,water,corphish
342,"water, dark",crawdaunt
343,"ground, psychic",baltoy
344,"ground, psychic",claydol
345,"rock, grass",lileep
346,"rock, grass",cradily
347,"rock, bug",anorith
348,"rock, bug",armaldo
349,water,feebas
350,water,milotic
351,normal,castform
352,normal,kecleon
353,ghost,shuppet
354,ghost,banette
355,ghost,duskull
356,ghost,dusclops
357,"flying, grass",tropius
358,psychic,chimecho
359,dark,absol
360,psychic,wynaut
361,ice,snorunt
362,ice,glalie
363,"water, ice",spheal
364,"water, ice",sealeo
365,"water, ice",walrein
366,water,clamperl
367,water,huntail
368,water,gorebyss
369,"rock, water",relicanth
370,water,luvdisc
371,dragon,bagon
372,dragon,shelgon
373,"flying, dragon",salamence
374,"steel, psychic",beldum
375,"steel, psychic",metang
376,"steel, psychic",metagross
377,rock,regirock
378,ice,regice
379,steel,registeel
380,"psychic, dragon",latias
381,"psychic, dragon",latios
382,water,kyogre
383,ground,groudon
384,"flying, dragon",rayquaza
385,"steel, psychic",jirachi
386,psychic,deoxys-normal
387,grass,turtwig
388,grass,grotle
389,"ground, grass",torterra
390,fire,chimchar
391,"fighting, fire",monferno
392,"fighting, fire",infernape
393,water,piplup
394,water,prinplup
395,"steel, water",empoleon
396,"normal, flying",starly
397,"normal, flying",staravia
398,"normal, flying",staraptor
399,normal,bidoof
400,"normal, water",bibarel
401,bug,kricketot
402,bug,kricketune
403,electric,shinx
404,electric,luxio
405,electric,luxray
406,"poison, grass",budew
407,"poison, grass",roserade
408,rock,cranidos
409,rock,rampardos
410,"rock, steel",shieldon
411,"rock, steel",bastiodon
412,bug,burmy
413,"bug, grass",wormadam-plant
414,"flying, bug",mothim
415,"flying, bug",combee
416,"flying, bug",vespiquen
417,electric,pachirisu
418,water,buizel
419,water,floatzel
420,grass,cherubi
421,grass,cherrim
422,water,shellos
423,"ground, water",gastrodon
424,normal,ambipom
425,"flying, ghost",drifloon
426,"flying, ghost",drifblim
427,normal,buneary
428,normal,lopunny
429,ghost,mismagius
430,"flying, dark",honchkrow
431,normal,glameow
432,normal,purugly
433,psychic,chingling
434,"poison, dark",stunky
435,"poison, dark",skuntank
436,"steel, psychic",bronzor
437,"steel, psychic",bronzong
438,rock,bonsly
439,"psychic, fairy",mime-jr
440,normal,happiny
441,"normal, flying",chatot
442,"ghost, dark",spiritomb
443,"ground, dragon",gible
444,"ground, dragon",gabite
445,"ground, dragon",garchomp
446,normal,munchlax
447,fighting,riolu
448,"fighting, steel",lucario
449,ground,hippopotas
450,ground,hippowdon
451,"poison, bug",skorupi
452,"poison, dark",drapion
453,"fighting, poison",croagunk
454,"fighting, poison",toxicroak
455,grass,carnivine
456,water,finneon
457,water,lumineon
458,"flying, water",mantyke
459,"grass, ice",snover
460,"grass, ice",abomasnow
461,"ice, dark",weavile
462,"steel, electric",magnezone
463,normal,lickilicky
464,"ground, rock",rhyperior
465,grass,tangrowth
466,electric,electivire
467,fire,magmortar
468,"flying, fairy",togekiss
469,"flying, bug",yanmega
470,grass,leafeon
471,ice,glaceon
472,"flying, ground",gliscor
473,"ground, ice",mamoswine
474,normal,porygon-z
475,"fighting, psychic",gallade
476,"rock, steel",probopass
477,ghost,dusknoir
478,"ghost, ice",froslass
479,"ghost, electric",rotom
480,psychic,uxie
481,psychic,mesprit
482,psychic,azelf
483,"steel, dragon",dialga
484,"water, dragon",palkia
485,"steel, fire",heatran
486,normal,regigigas
487,"ghost, dragon",giratina-altered
488,psychic,cresselia
489,water,phione
490,water,manaphy
491,dark,darkrai
